candidate_id,block_id,x,y,h,p_star,post_P0_flag,post_P0_by_pstar,finite_certified_flag,finite_zone_flag,threshold_relevant_flag,forbidden_flag,near_forbidden_flag,positive_harmless_flag,negative_transfer_flag,row_regime,Q_R2Q,Q_delta_D,Q_exc,epsilon,E_theta,epsilon_abs,Q_R2Q_recon,Q_R2Q_reconstruction_error,E_theta_sign,Q_R2Q_gt_0p75,Q_delta_D_gt_0p75,E_theta_positive,E_theta_nonnegative,E_theta_negative,positive_harmless_bound,positive_subthreshold_bound,Q_R2Q_minus_Q_delta_D,Q_exc_plus_abs_epsilon,direct_threshold_sign_counterexample,direct_delta_counterexample,endpoint_sign_bridge_counterexample,positive_harmless_counterexample_0p305,positive_harmless_counterexample_0p75,thresholdtransfer_failure_flag,Q_R2Q_bin,Q_delta_D_bin
hexc_00059,60,3290983,3290975,8,3291137,False,False,True,True,False,False,False,True,False,sign_inconsistent_positive_harmless,0.0730965487832678,0.068097615704397,0.0205672364492246,-0.0155683033703538,37.02008815604045,0.0155683033703538,0.07309654878326781,1.3877787807814457e-17,positive,False,False,True,True,False,True,True,0.004998933078870796,0.0361355398195784,False,False,False,False,False,False,"(-inf, 0.305]","(-inf, 0.25]"
hexc_00060,61,1190071,1190068,3,1190143,False,False,True,True,False,False,False,True,False,sign_inconsistent_positive_harmless,0.0832943901091022,0.080631858151701,0.0134386455041789,-0.0107761135467777,24.97904537377347,0.0107761135467777,0.08329439010910221,1.3877787807814457e-17,positive,False,False,True,True,False,True,True,0.0026625319574011957,0.024214759050956602,False,False,False,False,False,False,"(-inf, 0.305]","(-inf, 0.25]"
hexc_00064,65,3438889,3438886,3,3439001,False,False,True,True,False,False,False,True,False,sign_inconsistent_positive_harmless,0.0792717980142518,0.0750723212794575,0.0125120542877309,-0.0083125775529365,27.10131744255433,0.0083125775529365,0.0792717980142519,9.71445146547012e-17,positive,False,False,True,True,False,True,True,0.004199476734794302,0.0208246318406674,False,False,False,False,False,False,"(-inf, 0.305]","(-inf, 0.25]"
hexc_00065,66,1196077,1196076,1,1196077,False,False,True,True,False,False,False,True,False,sign_inconsistent_positive_harmless,0.0711424243631883,0.0698053209783983,0.0,0.0013371033847899,12.994557592691232,0.0013371033847899,0.0711424243631882,9.71445146547012e-17,positive,False,False,True,True,False,True,True,0.0013371033847899977,0.0013371033847899,False,False,False,False,False,False,"(-inf, 0.305]","(-inf, 0.25]"
hexc_00067,68,1192069,1192068,1,1192069,False,False,True,True,False,False,False,True,False,sign_inconsistent_positive_harmless,0.0712244136304279,0.0698216715498185,0.0,0.0014027420806094,12.991201010838148,0.0014027420806094,0.0712244136304279,0.0,positive,False,False,True,True,False,True,True,0.0014027420806094065,0.0014027420806094,False,False,False,False,False,False,"(-inf, 0.305]","(-inf, 0.25]"
hexc_00070,71,1191481,1191480,1,1191481,False,False,True,True,False,False,False,True,False,sign_inconsistent_positive_harmless,0.0710316103925829,0.0698240755547498,0.0,0.0012075348378331,12.990707629107597,0.0012075348378331,0.0710316103925829,0.0,positive,False,False,True,True,False,True,True,0.0012075348378331047,0.0012075348378331,False,False,False,False,False,False,"(-inf, 0.305]","(-inf, 0.25]"
hexc_00073,74,1186291,1186290,1,1186291,False,False,True,True,False,False,False,True,False,sign_inconsistent_positive_harmless,0.0716803042452162,0.0698453533838172,0.0,0.0018349508613989,12.986342191006576,0.0018349508613989,0.0716803042452161,9.71445146547012e-17,positive,False,False,True,True,False,True,True,0.0018349508613989957,0.0018349508613989,False,False,False,False,False,False,"(-inf, 0.305]","(-inf, 0.25]"
hexc_00075,76,2879,2878,1,2879,False,False,True,True,False,False,False,True,False,sign_inconsistent_positive_harmless,0.1282261417306278,0.1204495617554677,1.1199458377620308e-16,0.0077765799751599,6.965198290612176,0.0077765799751599,0.1282261417306277,8.326672684688674e-17,positive,False,False,True,True,False,True,True,0.007776579975160097,0.007776579975160012,False,False,False,False,False,False,"(-inf, 0.305]","(-inf, 0.25]"
hexc_00079,80,1198513,1198510,3,1198607,False,False,True,True,False,False,False,True,False,sign_inconsistent_positive_harmless,0.0831464357639209,0.0805918938395926,0.0134319847655415,-0.0108774428412131,24.993182690643494,0.0108774428412131,0.083146435763921,9.71445146547012e-17,positive,False,False,True,True,False,True,True,0.002554541924328302,0.0243094276067546,False,False,False,False,False,False,"(-inf, 0.305]","(-inf, 0.25]"
hexc_00080,81,1512197,1512196,1,1512197,False,False,True,True,False,False,False,True,False,sign_inconsistent_positive_harmless,0.0705955645536329,0.0686815873299589,0.0,0.001913977223674,13.22907411823977,0.001913977223674,0.07059556455363289,1.3877787807814457e-17,positive,False,False,True,True,False,True,True,0.0019139772236740071,0.001913977223674,False,False,False,False,False,False,"(-inf, 0.305]","(-inf, 0.25]"
hexc_00082,83,42923,42922,1,42923,False,False,True,True,False,False,False,True,False,sign_inconsistent_positive_harmless,0.0952612074725035,0.0909039576698389,1.248884654177082e-16,0.0043572498026644,9.66716309178561,0.0043572498026644,0.09526120747250343,6.938893903907228e-17,positive,False,False,True,True,False,True,True,0.004357249802664595,0.004357249802664525,False,False,False,False,False,False,"(-inf, 0.305]","(-inf, 0.25]"
hexc_00083,84,617579,617578,1,617579,False,False,True,True,False,False,False,True,False,sign_inconsistent_positive_harmless,0.0752538383487422,0.0731799305719317,0.0,0.0020739077768105,12.33356227452393,0.0020739077768105,0.0752538383487422,0.0,positive,False,False,True,True,False,True,True,0.0020739077768105046,0.0020739077768105,False,False,False,False,False,False,"(-inf, 0.305]","(-inf, 0.25]"
hexc_00084,85,10357,10356,1,10357,False,False,True,True,False,False,False,True,False,sign_inconsistent_positive_harmless,0.1086725867349362,0.1043788308928695,0.0,0.0042937558420666,8.24541789858888,0.0042937558420666,0.1086725867349361,9.71445146547012e-17,positive,False,False,True,True,False,True,True,0.0042937558420666905,0.0042937558420666,False,False,False,False,False,False,"(-inf, 0.305]","(-inf, 0.25]"
hexc_00085,86,15859,15858,1,15859,False,False,True,True,False,False,False,True,False,sign_inconsistent_positive_harmless,0.1069835705399953,0.0999397652056914,0.0,0.0070438053343039,8.6714924414986,0.0070438053343039,0.1069835705399953,0.0,positive,False,False,True,True,False,True,True,0.007043805334303904,0.0070438053343039,False,False,False,False,False,False,"(-inf, 0.305]","(-inf, 0.25]"
hexc_00088,89,1188149,1188148,1,1188149,False,False,True,True,False,False,False,True,False,sign_inconsistent_positive_harmless,0.0739495641263946,0.0698377238341033,0.0,0.0041118402922912,12.987907191915609,0.0041118402922912,0.0739495641263945,9.71445146547012e-17,positive,False,False,True,True,False,True,True,0.004111840292291294,0.0041118402922912,False,False,False,False,False,False,"(-inf, 0.305]","(-inf, 0.25]"
hexc_00091,92,3453943,3453942,1,3453943,False,False,True,True,False,False,False,True,False,sign_inconsistent_positive_harmless,0.0687276505309807,0.0649963708245559,0.0,0.0037312797064248,14.055027034946916,0.0037312797064248,0.06872765053098069,1.3877787807814457e-17,positive,False,False,True,True,False,True,True,0.0037312797064248115,0.0037312797064248,False,False,False,False,False,False,"(-inf, 0.305]","(-inf, 0.25]"
