row_id,candidate_id,block_id,source,x,y,h,right_endpoint,p_star,post_P0_flag,finite_zone_flag,finite_certificate_flag,coordinate_available_flag,finite_certificate_coordinate_excluded_flag,E_theta,E_theta_sign,E_theta_normalized,Q_R2Q,Q_exc,Q_O2,accumulation_proxy,positive_harmless_flag,negative_transfer_flag,channel_compatible_flag,O2_applicable_flag,B3_applicable_flag,endpoint_repaid_flag,near_forbidden_flag,forbidden_flag,known_pstar_110312593_flag,finite_certification_mode,finite_certification_pass_flag,failure_type,status
finite_00034,cand_00034,35.0,theta,354953.0,354952.0,1.0,354953.0,354953.0,False,True,True,True,False,11.779740665326448,positive,0.0721259667898836,0.080127585396028,0.0205672364492246,0.0499059549846063,0.0,True,False,True,True,True,True,False,False,False,positive_harmless_cap,True,,pass
finite_00035,cand_00035,36.0,theta,39707851.0,39704004.0,3847.0,39707851.0,39707851.0,False,True,True,True,False,-452.5803398765943,negative,-0.0238344126731367,0.1623741874086595,0.0110407093348006,0.0499059549846063,0.0,False,True,True,True,True,True,False,False,False,negative_channel_repaid,True,,pass
finite_00036,cand_00036,37.0,theta,1657.0,1656.0,1.0,1657.0,1657.0,False,True,True,True,False,6.412764017426562,positive,0.1167037763024239,0.1389495863976313,0.0205672364492246,0.0499059549846063,0.0,True,False,True,True,True,True,False,False,False,positive_harmless_cap,True,,pass
finite_00037,cand_00037,38.0,theta,155921.0,155920.0,1.0,155921.0,156007.0,False,True,True,True,False,10.957104747706284,positive,0.0766308585381272,0.0868104441327406,0.0205672364492246,0.0499059549846063,0.0,True,False,True,True,True,True,False,False,False,positive_harmless_cap,True,,pass
finite_00038,cand_00038,39.0,theta,39690667.0,39682692.0,7975.0,39690667.0,39690667.0,False,True,True,True,False,-364.0109776889212,negative,-0.0133149790272631,0.2349256240499423,0.0069005695359736,0.0499059549846063,0.0,False,True,True,True,True,True,False,False,False,negative_channel_repaid,True,,pass
finite_00039,cand_00039,40.0,theta,30417481.0,30409154.0,8327.0,30417481.0,30417481.0,False,True,True,True,False,-228.7179970545885,negative,-0.0084422631137849,0.24963148266117,0.0085348501864403,0.0499059549846063,0.0,False,True,True,True,True,True,False,False,False,negative_channel_repaid,True,,pass
finite_00041,cand_00041,42.0,theta,7117417.0,7115469.0,1948.0,7117417.0,7117417.0,False,True,True,True,False,-117.76229972501552,negative,-0.0107177802092479,0.1460888226947264,0.007641518998895,0.0499059549846063,0.0,False,True,True,True,True,True,False,False,False,negative_channel_repaid,True,,pass
finite_00042,cand_00042,43.0,theta,12781267.0,12779528.0,1739.0,12781267.0,12781267.0,False,True,True,True,False,-151.7480364006467,negative,-0.013590059484822,0.1300675391522673,0.0053725661686165,0.0499059549846063,0.0,False,True,True,True,True,True,False,False,False,negative_channel_repaid,True,,pass
finite_00043,cand_00043,44.0,theta,109588091.0,109577354.0,10737.0,109588091.0,109588091.0,False,True,True,True,False,-629.3445955758762,negative,-0.0177226687748103,0.2415685632788372,0.0066368119233886,0.0499059549846063,0.0,False,True,True,True,True,True,False,False,False,negative_channel_repaid,True,,pass
finite_00044,cand_00044,45.0,theta,12836777.0,12833438.0,3339.0,12836777.0,12836777.0,False,True,True,True,False,-163.66723291570224,negative,-0.0105723515140797,0.1752468754780604,0.0060864238556851,0.0499059549846063,0.0,False,True,True,True,True,True,False,False,False,negative_channel_repaid,True,,pass
finite_00045,cand_00045,46.0,theta,618029.0,618028.0,1.0,618029.0,618029.0,False,True,True,True,False,12.3342906609052,positive,0.0693704230771723,0.0748436752518515,0.0205672364492246,0.0499059549846063,0.0,True,False,True,True,True,True,False,False,False,positive_harmless_cap,True,,pass
finite_00046,cand_00046,47.0,theta,12807413.0,12805898.0,1515.0,12807413.0,12807413.0,False,True,True,True,False,-205.7621329185172,negative,-0.0197377997286405,0.1184377830877646,0.006714545286013,0.0499059549846063,0.0,False,True,True,True,True,True,False,False,False,negative_channel_repaid,True,,pass
finite_00047,cand_00047,48.0,theta,3440630.0,3439819.0,811.0,3440630.0,3440807.0,False,True,True,True,False,46.90968440981942,positive,0.0072712465886281,0.1225172337511368,0.0089098695882727,0.0499059549846063,0.0,True,False,True,True,True,True,False,False,False,positive_harmless_cap,True,,pass
finite_00048,cand_00048,49.0,theta,33902159.0,33888759.0,13400.0,33902159.0,33902159.0,False,True,True,True,False,-291.8733586694325,negative,-0.0083867655278248,0.3075518627750951,0.0049814047227133,0.0499059549846063,0.0,False,True,True,True,True,True,False,False,False,negative_channel_repaid,True,,pass
finite_00049,cand_00049,50.0,theta,3457967.0,3457512.0,455.0,3457967.0,3457967.0,False,True,True,True,False,-93.6529697629686,negative,-0.0193680367735395,0.0793601948576568,0.006278619086263,0.0499059549846063,0.0,False,True,True,True,True,True,False,False,False,negative_channel_repaid,True,,pass
finite_00050,cand_00050,51.0,theta,12842173.0,12840082.0,2091.0,12842173.0,12842173.0,False,True,True,True,False,-192.29332879440085,negative,-0.0156957821804743,0.1392439305539144,0.0050051051752984,0.0499059549846063,0.0,False,True,True,True,True,True,False,False,False,negative_channel_repaid,True,,pass
finite_00051,cand_00051,52.0,theta,1512479.0,1512478.0,1.0,1512479.0,1512479.0,False,True,True,True,False,13.229260584493224,positive,0.0653387626052911,0.0713499660129912,0.0205672364492246,0.0499059549846063,0.0,True,False,True,True,True,True,False,False,False,positive_harmless_cap,True,,pass
finite_00052,cand_00052,53.0,theta,356173.0,356170.0,3.0,356173.0,356243.0,False,True,True,True,False,22.56633807844032,positive,0.0797278138309229,0.0917954514179663,0.0205672364492246,0.0499059549846063,0.0,True,False,True,True,True,True,False,False,False,positive_harmless_cap,True,,pass
finite_00053,cand_00053,54.0,theta,7112297.0,7110038.0,2259.0,7112297.0,7112297.0,False,True,True,True,False,-113.30394854654696,negative,-0.0095767817581473,0.1547550134720171,0.0030623697626775,0.0499059549846063,0.0,False,True,True,True,True,True,False,False,False,negative_channel_repaid,True,,pass
finite_00054,cand_00054,55.0,theta,12895717.0,12894136.0,1581.0,12895717.0,12895717.0,False,True,True,True,False,-156.60587200935356,negative,-0.0146932242356456,0.1217247995908262,0.0082557947953519,0.0499059549846063,0.0,False,True,True,True,True,True,False,False,False,negative_channel_repaid,True,,pass
finite_00055,cand_00055,56.0,theta,1511449.0,1511046.0,403.0,1511449.0,1511527.0,False,True,True,True,False,9.625130217388572,positive,0.0023682517122969,0.0952884508457212,0.007718928919738,0.0499059549846063,0.0,True,False,True,True,True,True,False,False,False,positive_harmless_cap,True,,pass
finite_00056,cand_00056,57.0,theta,179620853.0,179616870.0,3983.0,179620853.0,179620853.0,False,True,True,True,False,-637.8829200418768,negative,-0.0279793726518573,0.1434186712486546,0.0081468555780067,0.0499059549846063,0.0,False,True,True,True,True,True,False,False,False,negative_channel_repaid,True,,pass
finite_00057,cand_00057,58.0,theta,1188361.0,1188358.0,3.0,1188361.0,1188511.0,False,True,True,True,False,24.97616952660599,positive,0.0736954721948265,0.0833294497303515,0.0205672364492246,0.0499059549846063,0.0,True,False,True,True,True,True,False,False,False,positive_harmless_cap,True,,pass
finite_00058,cand_00058,59.0,theta,293.0,292.0,1.0,293.0,293.0,False,True,True,True,False,4.680172609017068,positive,0.1450570376438435,0.1707575979731007,0.0205672364492246,0.0499059549846063,0.0,True,False,True,True,True,True,False,False,False,positive_harmless_cap,True,,pass
finite_00059,cand_00059,60.0,theta,3290983.0,3290975.0,8.0,3290983.0,3291137.0,False,True,True,True,False,37.02008815604045,positive,0.0581191865376321,0.0730965487832678,0.0205672364492246,0.0499059549846063,0.0,True,False,True,True,True,True,False,False,False,positive_harmless_cap,True,,pass
finite_00060,cand_00060,61.0,theta,1190071.0,1190068.0,3.0,1190071.0,1190143.0,False,True,True,True,False,24.97904537377347,positive,0.0736894995793346,0.0832943901091022,0.0205672364492246,0.0499059549846063,0.0,True,False,True,True,True,True,False,False,False,positive_harmless_cap,True,,pass
finite_00061,cand_00061,62.0,theta,113166227.0,113154493.0,11734.0,113166227.0,113166227.0,False,True,True,True,False,-570.3217879884924,negative,-0.0153099168444497,0.2503069484559692,0.0041822745120619,0.0499059549846063,0.0,False,True,True,True,True,True,False,False,False,negative_channel_repaid,True,,pass
finite_00062,cand_00062,63.0,theta,30816007.0,30813688.0,2319.0,30816007.0,30816007.0,False,True,True,True,False,-215.2921471839013,negative,-0.0150357367854338,0.1321516982536188,0.0075446709207132,0.0499059549846063,0.0,False,True,True,True,True,True,False,False,False,negative_channel_repaid,True,,pass
finite_00064,cand_00064,65.0,theta,3438889.0,3438886.0,3.0,3438889.0,3439001.0,False,True,True,True,False,27.10131744255433,positive,0.0690743589894426,0.0792717980142518,0.0205672364492246,0.0499059549846063,0.0,True,False,True,True,True,True,False,False,False,positive_harmless_cap,True,,pass
finite_00065,cand_00065,66.0,theta,1196077.0,1196076.0,1.0,1196077.0,1196077.0,False,True,True,True,False,12.994557592691232,positive,0.0663503397116,0.0711424243631883,0.0205672364492246,0.0499059549846063,0.0,True,False,True,True,True,True,False,False,False,positive_harmless_cap,True,,pass
finite_00066,cand_00066,67.0,theta,39699197.0,39695992.0,3205.0,39699197.0,39699197.0,False,True,True,True,False,-265.53724747196566,negative,-0.0153211765083552,0.1495716452263878,0.0085253544488815,0.0499059549846063,0.0,False,True,True,True,True,True,False,False,False,negative_channel_repaid,True,,pass
finite_00067,cand_00067,68.0,theta,1192069.0,1192068.0,1.0,1192069.0,1192069.0,False,True,True,True,False,12.991201010838148,positive,0.0663650323383584,0.0712244136304279,0.0205672364492246,0.0499059549846063,0.0,True,False,True,True,True,True,False,False,False,positive_harmless_cap,True,,pass
finite_00068,cand_00068,69.0,theta,108581987.0,108578163.0,3824.0,108581987.0,108581987.0,False,True,True,True,False,-400.9453068567673,negative,-0.0189383064477639,0.1469597990717331,0.0043804824344325,0.0499059549846063,0.0,False,True,True,True,True,True,False,False,False,negative_channel_repaid,True,,pass
finite_00069,cand_00069,70.0,theta,12847921.0,12847029.0,892.0,12847921.0,12847921.0,False,True,True,True,False,-139.04176855224262,negative,-0.0173754024332304,0.0908608054490663,0.0077829840818417,0.0499059549846063,0.0,False,True,True,True,True,True,False,False,False,negative_channel_repaid,True,,pass
finite_00070,cand_00070,71.0,theta,1191481.0,1191480.0,1.0,1191481.0,1191481.0,False,True,True,True,False,12.990707629107597,positive,0.0663671925425114,0.0710316103925829,0.0205672364492246,0.0499059549846063,0.0,True,False,True,True,True,True,False,False,False,positive_harmless_cap,True,,pass
