block_id,source_row,p_star,y,h,carrier_count,weighted_discrepancy,signed_weighted_discrepancy,small_q_le_13_discrepancy,tail_q_gt_13_discrepancy,top_component_q,top_component_abs,denom_sqrt_h_log2p,Q_LAN,h_bin,scale_bin
45,45,12836777,12833438,3339,388,0.4640711749274247,-0.4462051037376585,0.4640341284648552,3.7046462571330026e-05,3,0.4544343878610175,15480.68399898904,2.997743348793443e-05,1025<=h<=8192,p<100M
47,47,12807413,12805898,1515,160,0.0633009539936332,0.04323850541598659,0.06325266851877034,4.8285474863330586e-05,3,0.051435991260061556,10424.775595424973,6.0721646633250806e-06,1025<=h<=8192,p<100M
48,48,3440807,3439819,811,114,0.09476637768630088,-0.08033210163065459,0.09473652171595517,2.985597034629691e-05,3,0.08626852289387285,6451.395072088945,1.4689284507825959e-05,257<=h<=1024,p<100M
49,49,33902159,33888759,13400,1512,0.4079202105042405,0.29239671360873193,0.40775504256461415,0.00016516793963026623,3,0.34995900629646964,34801.659555293445,1.1721286160395029e-05,8193<=h<=65536,p<100M
50,50,3457967,3457512,455,48,0.17302428078709772,0.1578497519759822,0.1730042177708492,2.0063016249593885e-05,3,0.16543079737801847,4835.439485065229,3.578253462203419e-05,257<=h<=1024,p<100M
51,51,12842173,12840082,2091,232,0.33465765310227197,0.3304066362100178,0.33461969436106026,3.795874121414301e-05,3,0.3273599651048668,12251.274041864273,2.7316151116912506e-05,1025<=h<=8192,p<100M
54,54,7112297,7110038,2259,272,0.10923666205461417,0.10429388351798806,0.10921435844704075,2.230360757412103e-05,3,0.10410785180877091,11831.108968329036,9.233002785033278e-06,1025<=h<=8192,p<100M
55,55,12895717,12894136,1581,174,0.14714764429202237,-0.14059331172334055,0.14712553581022061,2.210848180302765e-05,3,0.14336891506023855,10658.373512699049,1.3805825449511741e-05,1025<=h<=8192,p<100M
56,56,1511527,1511046,403,58,0.027349765916349248,0.025291480473330807,0.02731409994788679,3.566596846257581e-05,3,0.026284435720661154,4064.234459289399,6.729377005757475e-06,257<=h<=1024,p<100M
57,57,179620853,179616870,3983,352,0.018531944044387263,-0.0029858684632236908,0.01846643764272033,6.550640166711888e-05,3,0.009063041450086788,22798.328181941317,8.128641669026644e-07,1025<=h<=8192,100M<=p<500M
60,60,3291137,3290975,8,6,0.02973208330357254,0.025514504929820964,0.029729660914574015,2.4223889986634796e-06,3,0.027623294116696753,636.9684498607004,4.6677481922495055e-05,5<=h<=16,p<100M
62,62,113166227,113154493,11734,1204,0.5365774558288938,-0.5275632657106444,0.5365141936215844,6.326220731387653e-05,3,0.5309997213235912,37251.7887447083,1.4404072231433877e-05,8193<=h<=65536,100M<=p<500M
63,63,30816007,30813688,2319,244,0.06579183171570469,-0.06575734504007946,0.06576981985674756,2.201185895763877e-05,3,0.06183789110618399,14318.696200672357,4.594820002718916e-06,1025<=h<=8192,p<100M
64,64,604810421,604757400,53021,5142,0.5167857651785692,0.5115603173187697,0.5165767253849566,0.00020903979361874036,3,0.5064963913424536,94146.57875745282,5.489161390664549e-06,8193<=h<=65536,p>=500M
67,67,39699197,39695992,3205,336,0.38531386889444336,0.3754725358096213,0.3852795750009332,3.429389351154768e-05,3,0.3802378038683511,17331.38752935575,2.2232142016431296e-05,1025<=h<=8192,p<100M
69,69,108581987,108578163,3824,370,0.20175934296721268,0.17025958670392824,0.20173634563332946,2.299733388403604e-05,3,0.18491795201111452,21171.12783884155,9.529928896705045e-06,1025<=h<=8192,100M<=p<500M
70,70,12847921,12847029,892,92,0.11112398279604585,0.1063799437401306,0.1111075847765854,1.639801946092184e-05,3,0.10874236164120216,8002.218601068224,1.388664673334615e-05,257<=h<=1024,p<100M
72,72,12843647,12843190,457,42,0.03007272394168969,0.02378112536202116,0.03004734473253371,2.5379209156153333e-05,3,0.02669639215021055,5727.543924457782,5.250544445983735e-06,257<=h<=1024,p<100M
73,73,40882169,40877269,4900,534,0.02508744890841594,0.006036893397766818,0.025060111871666055,2.733703675009342e-05,3,0.014028731941566421,21501.749239974473,1.1667631609141455e-06,1025<=h<=8192,p<100M
75,75,113195507,113182659,12848,1350,0.9092001503284926,-0.8825979208510701,0.9091366901186566,6.346020983988166e-05,3,0.895869934854343,38981.08925283357,2.3324134028974113e-05,8193<=h<=65536,100M<=p<500M
77,77,39674417,39673239,1178,112,0.05591682213145926,0.049716902161924766,0.05588894533069524,2.7876800764368475e-05,3,0.05267186054870976,10506.57015195914,5.322081452150449e-06,1025<=h<=8192,p<100M
78,78,3441797,3441229,568,68,0.16992970502155078,-0.16963513668063399,0.1699134906285226,1.6214393029393862e-05,3,0.1684174814922517,5399.256757814914,3.1472795727966374e-05,257<=h<=1024,p<100M
79,79,109546081,109535495,10586,1108,0.8415278508011388,0.7685495131696882,0.841489757158556,3.809364258734623e-05,3,0.8048053505870376,35258.66498963759,2.3867263580412393e-05,8193<=h<=65536,100M<=p<500M
82,82,12782599,12782006,494,52,0.009042804909982846,0.003795113648614464,0.009025414819564445,1.7390090418505807e-05,5,0.006267523293712819,5951.424621706459,1.5194353427583178e-06,257<=h<=1024,p<100M
87,87,109467389,109460158,7231,762,0.27327604946377065,-0.2726324698347498,0.2732037801649936,7.226929877907583e-05,3,0.2696194249572904,29138.378630648243,9.378560589377963e-06,1025<=h<=8192,100M<=p<500M
