candidate_id,x,selected_block_id,p_star,h,pstar_over_x,h_over_x,scale_ratio,pstar_comparable_flag,h_short_flag,scale_positive_flag,geometry_pass_flag
cand_00102,33824779,theta_local:103:33823778:1001,33824779,1001.0,1.0,2.9593689289145096e-05,0.005440008206716705,True,True,True,True
cand_00103,30358319,theta_local:104:30357034:1285,30358319,1285.0,1.0,4.232777183743276e-05,0.006505979698510653,True,True,True,True
cand_00104,604432601,theta_local:105:604410439:22162,604432601,22162.0,1.0,3.666579195651295e-05,0.0060552284809504055,True,True,True,True
cand_00105,479,theta_local:106:478:1,479,1.0,1.0,0.0020876826722338203,0.04569116623849538,True,True,True,True
cand_00106,231701,theta_local:107:231700:1,231701,1.0,1.0,4.315907138941999e-06,0.0020774761464194963,True,True,True,True
cand_00107,39634747,theta_local:108:39633125:1622,39634747,1622.0,1.0,4.092368749067579e-05,0.006397162456173501,True,True,True,True
cand_00108,33492847,theta_local:109:33491912:935,33492847,935.0,1.0,2.7916408539411416e-05,0.0052835980675493685,True,True,True,True
cand_00109,39655321,theta_local:110:39654336:985,39655321,985.0,1.0,2.4839037363989565e-05,0.004983877743684084,True,True,True,True
cand_00110,30780011,theta_local:111:30777698:2313,30780011,2313.0,1.0,7.514617197505226e-05,0.008668689172824935,True,True,True,True
cand_00111,3459077,theta_local:112:3459076:1,3459077,1.0,1.0,2.8909446074776596e-07,0.0005376750512602998,True,True,True,True
cand_00112,30784249,theta_local:113:30783029:1220,30784249,1220.0,1.0,3.963065657375627e-05,0.006295288442458872,True,True,True,True
cand_00113,359419,theta_local:114:359416:3,359477,3.0,1.0001613715468576,8.346804147805208e-06,0.0028891565022879586,True,True,True,True
cand_00114,3453551,theta_local:115:3453550:1,3453551,1.0,1.0,2.8955703853801496e-07,0.000538105044148459,True,True,True,True
cand_00115,12830269,theta_local:116:12829371:898,12830269,898.0,1.0,6.999073830798091e-05,0.008366046755067826,True,True,True,True
cand_00116,17992177,theta_local:117:17991472:705,17992327,705.0,1.0000083369566672,3.91836963364689e-05,0.00625969444587056,True,True,True,True
cand_00117,179650181,theta_local:118:179648340:1841,179650181,1841.0,1.0,1.0247693543932472e-05,0.0032012018905299413,True,True,True,True
cand_00118,1513271,theta_local:119:1513270:1,1513271,1.0,1.0,6.608201703462235e-07,0.0008129084636945439,True,True,True,True
cand_00119,108561281,theta_local:120:108557409:3872,108561281,3872.0,1.0,3.566649144458787e-05,0.005972142952457507,True,True,True,True
cand_00120,108842081,theta_local:121:108840439:1642,108842081,1642.0,1.0,1.5086076863965877e-05,0.0038840799250228976,True,True,True,True
cand_00121,30418643,theta_local:122:30418642:1,30418643,1.0,1.0,3.287457629191414e-08,0.00018131347520775764,True,True,True,True
cand_00122,3277217,theta_local:123:3277216:1,3277217,1.0,1.0,3.051369500402323e-07,0.0005523920256848684,True,True,True,True
cand_00123,30340831,theta_local:124:30340827:4,30340987,4.0,1.000005141586267,1.3183554530856455e-07,0.0003630918653592809,True,True,True,True
cand_00124,33827861,theta_local:125:33826320:1541,33827861,1541.0,1.0,4.5554166135423104e-05,0.0067493826484666805,True,True,True,True
cand_00125,40847383,theta_local:126:40847382:1,40847383,1.0,1.0,2.4481372527586408e-08,0.00015646524383257262,True,True,True,True
cand_00126,3236861,theta_local:127:3236860:1,3236861,1.0,1.0,3.0894128601753365e-07,0.0005558248699163556,True,True,True,True
cand_00127,187449539,theta_local:128:187440181:9358,187449539,9358.0,1.0,4.992276881513163e-05,0.007065604631956959,True,True,True,True
cand_00128,40874291,theta_local:129:40872504:1787,40874291,1787.0,1.0,4.3719412772199524e-05,0.006612065696300931,True,True,True,True
cand_00129,109678603,theta_local:130:109674416:4187,109678603,4187.0,1.0,3.8175176246546464e-05,0.006178606335294916,True,True,True,True
cand_00130,12786583,theta_local:131:12786580:3,12786847,3.0,1.0000206466418746,2.3462093039242775e-07,0.00048437806978081404,True,True,True,True
cand_00131,1189387,theta_local:132:1189386:1,1189387,1.0,1.0,8.407692365899408e-07,0.0009169346959243831,True,True,True,True
cand_00132,30343471,theta_local:133:30342328:1143,30343471,1143.0,1.0,3.766872946077922e-05,0.00613748559760259,True,True,True,True
cand_00133,1189751,theta_local:134:1189750:1,1189751,1.0,1.0,8.405120062937539e-07,0.0009167944187732351,True,True,True,True
cand_00134,12831227,theta_local:135:12830878:349,12831293,349.0,1.000005143701378,2.7199269407360653e-05,0.0052152951592811265,True,True,True,True
cand_00135,359539,theta_local:136:359538:1,359539,1.0,1.0,2.7813394374462853e-06,0.0016677348222802948,True,True,True,True
cand_00136,2819,theta_local:137:2818:1,2819,1.0,1.0,0.000354735721887194,0.018834429162764506,True,True,True,True
cand_00137,7048213,theta_local:138:7048210:3,7048303,3.0,1.0000127691941205,4.2563980401840864e-07,0.0006524118199019315,True,True,True,True
cand_00138,109556411,theta_local:139:109553597:2814,109556411,2814.0,1.0,2.5685397817568156e-05,0.0050680763429104105,True,True,True,True
cand_00139,1512661,theta_local:140:1512660:1,1512661,1.0,1.0,6.610866545775954e-07,0.0008130723550690894,True,True,True,True
cand_00140,12799573,theta_local:141:12799572:1,12799573,1.0,1.0,7.812760628811602e-08,0.0002795131594185076,True,True,True,True
cand_00141,2275961,theta_local:142:2275960:1,2275961,1.0,1.0,4.3937483990279273e-07,0.0006628535584145209,True,True,True,True
cand_00142,42533,theta_local:143:42532:1,42533,1.0,1.0,2.351115604354266e-05,0.004848830378920535,True,True,True,True
cand_00143,445069,theta_local:144:445068:1,445069,1.0,1.0,2.246842624402059e-06,0.0014989471719850766,True,True,True,True
cand_00144,1517807,theta_local:145:1517806:1,1517807,1.0,1.0,6.588452945598485e-07,0.0008116928572802945,True,True,True,True
cand_00145,1518061,theta_local:146:1518060:1,1518061,1.0,1.0,6.587350574186413e-07,0.0008116249487408832,True,True,True,True
cand_00146,3458821,theta_local:147:3458820:1,3458821,1.0,1.0,2.891158576867667e-07,0.0005376949485412399,True,True,True,True
cand_00147,359701,theta_local:148:359700:1,359701,1.0,1.0,2.7800867943097185e-06,0.0016673592277339992,True,True,True,True
cand_00148,1511821,theta_local:149:1511818:3,1511863,3.0,1.000027781066674,1.9843619052784686e-06,0.0014086793114744785,True,True,True,True
cand_00149,108590687,theta_local:150:108589025:1662,108590687,1662.0,1.0,1.5305179900003765e-05,0.00391218352074692,True,True,True,True
cand_00150,39670783,theta_local:151:39670780:3,39670973,3.0,1.0000047894189534,7.56224045287939e-08,0.0002749954314759584,True,True,True,True
cand_00151,3291539,theta_local:152:3291538:1,3291539,1.0,1.0,3.03809251538566e-07,0.0005511889435924545,True,True,True,True
cand_00152,108849263,theta_local:153:108847420:1843,108849263,1843.0,1.0,1.693167182950977e-05,0.004114811275078089,True,True,True,True
cand_00153,12801751,theta_local:154:12800706:1045,12801751,1045.0,1.0,8.162945834519043e-05,0.00903490223218771,True,True,True,True
cand_00154,109764139,theta_local:155:109762638:1501,109764139,1501.0,1.0,1.36747758755708e-05,0.003697942113604647,True,True,True,True
cand_00155,33871261,theta_local:156:33870647:614,33871261,614.0,1.0,1.8127462098325775e-05,0.004257635740446308,True,True,True,True
