candidate_id,block_id,x,y,h,p_star,post_P0_flag,sample_count,sample_count_over_h,L_total,lambda_event_count,prime_event_count,prime_power_event_count,lambda_event_weight_sum,lambda_event_weight_sq_sum,lambda_event_weight_max,first_lambda_event_offset,last_lambda_event_offset,lambda_event_span,max_lambda_gap,mean_lambda_gap,min_lambda_gap,K_prime,E_prime,C_prime,B_prime_abs_max,B_prime_abs_mean,B_prime_abs_q95,B_prime_abs_q99,B_prime_effective_support,B_prime_effective_support_frac,B_prime_peak_offset,B_prime_peak_position_fraction,linear_mass_slope,lambda_density,prime_density,single_shock_bound_K,event_l2_bound_K,total_mass_bound_K,event_count_log_bound_K,single_shock_bound_pass_flag,event_l2_bound_pass_flag,total_mass_bound_pass_flag,event_count_log_bound_pass_flag,K_prime_above_65_flag,K_prime_component,E_prime_component,C_prime_component,B_prime_abs_max_component,K_comp,K_total,post_P0_flag_component,component_proof_source,Q_R2Q,Q_delta_D,Q_exc,E_theta,E_theta_sign,threshold_relevant_flag,forbidden_flag,finite_zone_flag,positive_harmless_flag,negative_transfer_flag,O2_B3_repaid_flag,row_status,K_prime_component_delta
hexc_00020,21,30847123,30831334,15789,30847123,False,40,0.0025334093356134016,15364.668390692621,891,891,0,15364.668390692605,264952.9009793016,17.24455404626836,3,15789,15786,102,17.737078651685394,2,6.28187190744635,99184.47554667042,2.5063662755962763,225.19186513665954,30.182173839337963,84.71887224278817,176.9892452982324,1.9558624341937898,0.04889656085484474,11978,0.7586294255494331,0.9731248584896207,0.05643169295078852,0.05643169295078852,0.7533716999294963,671.2341528388159,598069.630137307,671.2541846371812,True,False,False,False,False,6.28187190744635,99184.47554667042,2.5063662755962763,225.19186513665957,4.39896068297638e-05,6.289907492967278,False,smallness_driven,0.338124053326903,0.3244066291128366,0.0060303868534807,-424.33160930738086,negative,False,False,True,False,True,True,primitive_full_verified,0.0
hexc_00021,22,60209,60208,1,60209,False,2,2.0,11.005577121783782,1,1,0,11.005577121783782,121.12272778353059,11.005577121783782,1,1,0,1,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,11.005577121783782,1.0,1.0,242.24545556706119,242.24545556706119,242.24545556706119,242.24545556706119,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False,smallness_driven,0.0940510554686493,0.0881934154907322,0.0,10.005577121783782,positive,False,False,True,True,False,False,sign_inconsistent_positive_harmless,0.0
hexc_00022,23,354619,354550,3,354619,False,4,1.3333333333333333,25.557220599331153,2,2,0,25.557220599331153,326.58576238145423,12.778613120126327,1,3,2,2,2.0,2,12.095768977095608,36.28730693128682,3.477897206229018,4.25953958701594,2.1297683832775958,4.259538740877716,4.259539417788295,1.9999973513955458,0.49999933784888645,2,0.6666666666666666,8.519073533110385,0.6666666666666666,0.6666666666666666,217.72393769848625,435.4476831752723,870.8953663505022,435.46056090793627,False,False,False,False,False,12.095768977095608,36.28730693128682,3.477897206229018,4.25953958701594,0.0077448344080658,11.491370926988026,False,smallness_driven,0.0920232096308952,0.088072855820278,0.0146788192753852,22.55722059933116,positive,False,False,True,True,False,False,sign_inconsistent_positive_harmless,0.0
hexc_00023,24,180619079,180557417,61662,180619079,False,41,0.000664915182770588,60495.3266136878,3182,3182,0,60495.326613687816,1150120.8492122318,19.011900835670836,60,61662,61602,130,19.365608299276957,2,14.887526869901857,917994.6818518883,3.8584358061139046,459.04068909525085,96.8673528601928,348.53582286492383,438.89761274562596,4.356500814278188,0.10625611742141922,17482,0.28351334695598585,0.981079540295284,0.05160390516039052,0.05160390516039052,0.24033517091240375,764.732814662215,2433379.8161909664,764.7465138432688,True,False,False,False,False,14.887526869901857,917994.6818518884,3.858435806113905,459.04068909525085,5.97762705463071e-06,14.885742504015326,False,smallness_driven,0.5459231094474968,0.5329138719787416,0.0051149881925594,-1166.673386312199,negative,False,False,True,False,True,True,primitive_full_verified,0.0
hexc_00024,25,109813367,109790208,23159,109813367,False,41,0.001770370050520316,22439.19357068757,1212,1212,0,22439.193570687552,415443.40602984704,18.514292819156463,13,23159,23146,118,19.113129644921553,2,8.632103006924334,199910.87353736063,2.93804407845157,238.07579744871327,38.27984491458696,161.27560539053047,213.29097678896807,3.5270037504439884,0.08602448171814606,9786,0.4225571052290686,0.9689189330578855,0.05233386588367373,0.05233386588367373,0.6068457438720243,735.4885637213926,891412.1392207872,735.4970415728934,True,False,False,False,False,8.632103006924334,199910.87353736063,2.93804407845157,238.07579744871327,2.00474439675752e-05,8.634846295609611,False,smallness_driven,0.3557665519303423,0.3389837450779626,0.0045682420338709,-719.8064293124298,negative,False,False,True,False,True,True,primitive_full_verified,0.0
hexc_00025,26,230647,230560,3,230647,False,4,1.3333333333333333,24.69655017143579,2,2,0,24.69655017143579,304.95979518516015,12.348279422946058,1,3,2,2,2.0,2,11.294807229091154,33.88442168727346,3.3607747959497605,4.116096032467462,2.058045847619649,4.116094731299013,4.1160957722337725,1.999995785109424,0.499998946277356,2,0.6666666666666666,8.232183390478596,0.6666666666666666,0.6666666666666666,203.3066729428707,406.6130602468802,813.22612049366,406.6373354385991,False,False,False,False,False,11.294807229091154,33.88442168727346,3.3607747959497605,4.116096032467462,0.0077448344053751,10.711023833807198,False,smallness_driven,0.0944180902326222,0.0910569767225814,0.0151761792087925,21.69655017143579,positive,False,False,True,True,False,False,sign_inconsistent_positive_harmless,0.0
hexc_00026,27,1192781,1192323,458,1192781,False,35,0.07641921397379912,419.7475054537239,30,30,0,419.7475054537239,5872.9322782207055,13.991798113399025,4,458,454,48,15.655172413793103,2,50.66738569136996,23205.66264664744,7.118102674966831,50.343893728046396,20.9002977143642,46.59244238193585,49.969921666055676,9.155885869024312,0.2615967391149803,113,0.24672489082969432,0.9164792695496154,0.06550218340611354,0.06550218340611354,14.960621191297111,448.80486842297967,13464.146051772574,448.8186357389134,True,False,False,False,False,50.66738569136996,23205.66264664744,7.118102674966831,50.3438937280464,0.000977872684206,50.81680635690199,False,smallness_driven,0.0967472985369818,0.0776974809855303,0.0120403626533005,-38.252494546276125,negative,False,False,True,False,True,True,primitive_full_verified,0.0
hexc_00027,28,109670797,109660803,9994,109670797,False,40,0.0040024014408645186,9293.499620888608,502,502,0,9293.499620888617,172050.0701267297,18.5129936819663,4,9994,9990,120,19.940119760479043,2,17.104383267421262,170941.2063746081,4.135744584403304,335.6747788384673,33.80899827199572,101.73157762502544,251.86884575539852,1.5170829994982455,0.037927074987456136,7682,0.7686611967180308,0.9299079068329605,0.05023013808284971,0.05023013808284971,1.3717467883471048,688.6134485760645,345683.9511845382,688.6168877502466,True,False,False,False,False,17.104383267421262,170941.2063746081,4.135744584403304,335.6747788384673,4.108773065428721e-05,17.111990579342564,False,smallness_driven,0.2345732370876761,0.2113316628996534,0.0098010101179576,-700.5003791113922,negative,False,False,True,False,True,True,primitive_full_verified,0.0
hexc_00028,29,3456977,3455716,1261,3456977,False,37,0.029341792228390166,1204.4570749115694,80,80,0,1204.4570749115696,18133.96056721775,15.055905065714143,3,1261,1258,48,15.924050632911392,2,21.239147477501664,26782.5649691296,4.608594956980019,62.23703931997039,22.710338577097758,50.532399691000705,58.60086357839172,6.914397099675459,0.18687559728852593,455,0.36082474226804123,0.9551602497316173,0.063441712926249,0.063441712926249,6.651205600212911,532.0829032411234,42566.63225715129,532.0964480170329,True,False,False,False,False,21.239147477501664,26782.5649691296,4.608594956980019,62.23703931997039,0.0006905208179146,21.41571235172158,False,smallness_driven,0.1341559286414388,0.1174356488415478,0.0077614986724626,-56.54292508843059,negative,False,False,True,False,True,True,primitive_full_verified,0.0
hexc_00029,30,4994789,4991760,3029,4994789,False,37,0.012215252558600198,2915.059459257624,189,189,0,2915.059459257623,44960.69657182133,15.42390572693032,11,3029,3018,80,16.0531914893617,2,6.757606773120383,20468.79091578164,2.599539723320339,74.78327869404188,16.697530758937813,46.26884768453184,66.59622233423953,3.6600177038409867,0.09891939740110775,964,0.31825685044569163,0.9623834464369838,0.06239683063717399,0.06239683063717399,2.9059703239714945,549.2062638353877,103799.98385185597,549.2283912306124,True,False,False,False,False,6.757606773120383,20468.79091578164,2.599539723320339,74.78327869404188,0.0001468603140134,6.772509075285272,False,smallness_driven,0.1879865387221068,0.1751074858509674,0.0057126820734734,-113.94054074237602,negative,False,False,True,False,True,True,primitive_full_verified,0.0
