scope,rows,neg_rows,neg_frac,mean_post_z,std_post_z,min_post_z,max_post_z,neg_max,q05_post_z,q95_post_z,median_h,median_recovery_position,median_cp_ratio,median_R_eff_over_P,median_response_over_obstruction,median_Qpp_over_denom
shell_pattern:10100,30,30,1.0,-0.015825268925985608,0.001910795368850227,-0.019754849314279888,-0.012033880705273987,0.019754849314279888,-0.018665872510916996,-0.012271399856434448,3.0,0.43805309734513276,0.063617502764239,-0.07389157318753656,0.7393285721070678,0.0
late_recovery_proxy:True,1265,17,0.013438735177865613,0.04010712911866406,0.051280151668304436,-0.01874942984978795,0.9748126741428922,0.01874942984978795,0.018317731109150536,0.07191223986195258,1.0,0.9807692307692307,0.0575445522104413,-0.0784927511398277,1.5745121690149309,0.0
recovery_position:0.75-0.95,44,1,0.022727272727272728,0.15848733682265864,0.2153638413004187,-0.01874942984978795,0.9748126741428922,0.01874942984978795,0.028150667654859685,0.6761470619590827,1.0,0.9444444444444444,0.0697738864839331,-0.0988726760418354,1.977201391282731,0.0
decade:1e6-1e7,198,12,0.06060606060606061,0.05453575819029204,0.02129240021534307,-0.01826160714045132,0.15815331084447667,0.01826160714045132,-0.002221047057629388,0.07116114702073906,1.0,0.9736842105263158,0.0696567291558906,-0.09316657098173345,1.836943657204449,0.0
recovery_position:0.50-0.75,30,16,0.5333333333333333,0.0229917332148336,0.04804520838773168,-0.01809724491802191,0.15815331084447667,0.01809724491802191,-0.01693372689077384,0.09561617138830616,3.0,0.639722159475943,0.0628497400433782,-0.075284404195023,0.9739450728805761,0.0
h:65<=h<=256,3,2,0.6666666666666666,-0.004298474770673098,0.00991770097104622,-0.017631206691171575,0.006138817266646264,0.017631206691171575,-0.016008389510803817,0.005384632051232238,205.0,0.3526315789473684,0.0588053295328899,0.0853179760764221,0.9761410249948644,0.0
depth:0.60-0.65,7,2,0.2857142857142857,0.1716255219403867,0.25994101773630174,-0.017344614750364543,0.78409438035205,0.017344614750364543,-0.014894711290770803,0.5941368278143186,1.0,0.9166666666666666,0.0968247715409327,-0.1331153955054747,2.469351631097868,0.0
h:5<=h<=16,6,4,0.6666666666666666,0.014206095729761831,0.040346799365415,-0.016842403132266606,0.0830951993001843,0.016842403132266606,-0.016676694359253487,0.07659982736888189,10.5,0.36837199668599835,0.0655756453463309,-0.0644251880534118,0.8280987904023955,0.0
shell_pattern:11100,12,7,0.5833333333333334,0.002949436924965229,0.012535333908276006,-0.010405842957724738,0.03966844251883067,0.010405842957724738,-0.009784210244558804,0.023109720741513948,3.0,0.5502380952380952,0.08331191991972685,-0.10078318560045604,0.9743172563900622,0.0
depth:0.65-0.70,5,1,0.2,0.03341934637598296,0.03179674472290038,-0.0075167682455929506,0.08969171900200533,0.0075167682455929506,-0.0020120358851958495,0.07903321755615539,2483.0,0.03159126365054602,0.1786966438467436,0.130756947679606,1.1039872221548583,0.0
depth:>=0.70,4,1,0.25,0.05883226883253307,0.0509670426758162,-0.0015990424153537095,0.13865276339736426,0.0015990424153537095,0.004591080324773948,0.12664588566215326,32208.0,0.11782425947603693,0.3984539606254322,-0.0017599403213865994,1.2143060566125379,4.7665132234838e-05
mu:0.006-0.01,1,1,1.0,-0.0015990424153537095,0.0,-0.0015990424153537095,-0.0015990424153537095,0.0015990424153537095,-0.0015990424153537095,-0.0015990424153537095,684790.0,0.0,1.819256709639388,0.1346203042683465,0.9991210463004583,9.5330264469676e-05
