candidate_id,block_id,x,y,h,p_star,right_endpoint,post_P0_flag,finite_certificate_flag,E_theta,E_theta_sign,Q_R2Q,near_forbidden_flag,forbidden_flag,channel_inferred,channel_full,C_minus_flag,O2_applicable_flag,B3_applicable_flag,coordinate_available_flag,D_left,D_right,D_mid_proxy,endpoint_line_left,endpoint_line_right,bridge_excursion_raw,bridge_excursion_absmax,Q_exc,Q_exc_source,V2,sqrt_V2,Q_exc_over_sqrt_V2,variance_proxy_source,endpoint_exclusion_flag,endpoint_exclusion_Q,endpoint_exclusion_harmful_flag,valid_scale_flag,bridge_rigidity_pass_flag,failure_type,status
hexc_00024,25,109813367,109790208,23159,109813367,109813367,False,True,-719.8064293124298,negative,0.3557665519303423,False,False,neutral,negative_transferred_repaid,True,True,True,True,-6243.548424860049,-23926.429705648483,,-6243.548424860049,-23926.429705648483,238.2995725304463,238.2995725304463,0.0045682420338709,existing_o2p3,0.0004263792000474,0.0206489515483821,0.2212336070994769,prime_mesh_r2q_hexc_v2_shell_variance_summary.csv,True,0.0,False,True,True,,pass
hexc_00025,26,230563,230560,3,230647,230563,False,True,21.69655017143579,positive,0.0944180902326222,False,False,positive_harmless,positive_harmless,False,True,True,True,,,,,,,,,missing,0.0004263792000474,0.0206489515483821,,prime_mesh_r2q_hexc_v2_shell_variance_summary.csv,False,0.0,False,True,False,,pass
hexc_00026,27,1192781,1192323,458,1192781,1192781,False,True,-38.252494546276125,negative,0.0967472985369818,False,False,neutral,negative_transferred_repaid,True,True,True,True,-623.3057979417131,-948.8325897505176,,-623.3057979417131,-948.8325897505176,50.44514412859007,50.44514412859007,0.0120403626533005,existing_o2p3,0.0004263792000474,0.0206489515483821,0.5830980146904309,prime_mesh_r2q_hexc_v2_shell_variance_summary.csv,True,0.0,False,True,True,,pass
hexc_00027,28,109670797,109660803,9994,109670797,109670797,False,True,-700.5003791113922,negative,0.2345732370876761,False,False,neutral,negative_transferred_repaid,True,True,True,True,-6062.627144332166,-13303.443764865187,,-6062.627144332166,-13303.443764865187,335.81014783297,335.81014783297,0.0098010101179576,existing_o2p3,0.0004263792000474,0.0206489515483821,0.4746492864295347,prime_mesh_r2q_hexc_v2_shell_variance_summary.csv,True,0.0,False,True,True,,pass
hexc_00028,29,3456977,3455716,1261,3456977,3456977,False,True,-56.54292508843059,negative,0.1341559286414388,False,False,neutral,negative_transferred_repaid,True,True,True,True,-1076.8098138024425,-2022.1132362822227,,-1076.8098138024425,-2022.1132362822227,62.47652506736517,62.47652506736517,0.0077614986724626,existing_o2p3,0.0004263792000474,0.0206489515483821,0.3758785841633075,prime_mesh_r2q_hexc_v2_shell_variance_summary.csv,True,0.0,False,True,True,,pass
hexc_00029,30,4994789,4991760,3029,4994789,4994789,False,True,-113.94054074237602,negative,0.1879865387221068,False,False,neutral,negative_transferred_repaid,True,True,True,True,-1282.5533183929576,-3575.231370335033,,-1282.5533183929576,-3575.231370335033,74.79600740040587,74.79600740040587,0.0057126820734734,existing_o2p3,0.0004263792000474,0.0206489515483821,0.2766572462571837,prime_mesh_r2q_hexc_v2_shell_variance_summary.csv,True,0.0,False,True,True,,pass
hexc_00030,31,7108243,7105465,2778,7108243,7108243,False,True,-80.20709910296955,negative,0.1766899326140388,False,False,neutral,negative_transferred_repaid,True,True,True,True,-1580.4968693296976,-3707.454245328314,,-1580.4968693296976,-3707.454245328314,89.51022293063807,89.51022293063807,0.0068229245505902,existing_o2p3,0.0004263792000474,0.0206489515483821,0.3304247450338366,prime_mesh_r2q_hexc_v2_shell_variance_summary.csv,True,0.0,False,True,True,,pass
hexc_00031,32,3293113,3292080,1033,3293113,3293113,False,True,-117.56184933337444,negative,0.1154116378424172,False,False,neutral,negative_transferred_repaid,True,True,True,True,-1036.8409135045636,-1739.9792047404453,,-1036.8409135045636,-1739.9792047404453,44.40858594402789,44.40858594402789,0.0061349229944132,existing_o2p3,0.0004263792000474,0.0206489515483821,0.2971057867048891,prime_mesh_r2q_hexc_v2_shell_variance_summary.csv,True,0.0,False,True,True,,pass
hexc_00032,33,1197619,1197615,4,1197697,1197619,False,True,23.99169028406876,positive,0.0726584885625681,False,False,positive_harmless,positive_harmless,False,True,True,True,,,,,,,,,missing,0.0004263792000474,0.0206489515483821,,prime_mesh_r2q_hexc_v2_shell_variance_summary.csv,False,0.0,False,True,False,,pass
hexc_00033,34,127,126,1,127,127,False,True,3.844187086458591,positive,0.2157084836048593,False,False,positive_harmless,positive_harmless,False,True,True,True,,,,,,,,,missing,0.0004263792000474,0.0206489515483821,,prime_mesh_r2q_hexc_v2_shell_variance_summary.csv,False,0.0,False,True,False,,pass
hexc_00034,35,354953,354952,1,354953,354953,False,True,11.779740665326448,positive,0.080127585396028,False,False,positive_harmless,positive_harmless,False,True,True,True,,,,,,,,,missing,0.0004263792000474,0.0206489515483821,,prime_mesh_r2q_hexc_v2_shell_variance_summary.csv,False,0.0,False,True,False,,pass
hexc_00035,36,39707851,39704004,3847,39707851,39707851,False,True,-452.5803398765943,negative,0.1623741874086595,False,False,neutral,negative_transferred_repaid,True,True,True,True,-3590.415609090645,-6194.606063479505,,-3590.415609090645,-6194.606063479505,209.64678474559517,209.64678474559517,0.0110407093348006,existing_o2p3,0.0004263792000474,0.0206489515483821,0.5346861950318087,prime_mesh_r2q_hexc_v2_shell_variance_summary.csv,True,0.0,False,True,True,,pass
hexc_00036,37,1657,1656,1,1657,1657,False,True,6.412764017426562,positive,0.1389495863976313,False,False,positive_harmless,positive_harmless,False,True,True,True,,,,,,,,,missing,0.0004263792000474,0.0206489515483821,,prime_mesh_r2q_hexc_v2_shell_variance_summary.csv,False,0.0,False,True,False,,pass
