block_id,p_star,y,h,t,offset,offset_frac,D_t,line_t,diff,abs_diff,residual_slope_prev,Q_exc_interval,shape_class
174,30825511,30824836,675,30825396,560.0,0.8296296296296296,-3278.587849918284,-3290.647282567951,12.059432649667087,12.059432649667087,0.40137820512194305,0.011081566728119278,small_absolute_excursion
174,30825511,30824836,675,30825511,675.0,1.0,-3375.7104723839648,-3375.7104723839648,0.0,0.0,-0.10486463173623554,0.011081566728119278,small_absolute_excursion
356,33821677,33821502,7,33821502,0.0,0.0,-2990.306803429872,-2990.306803429872,0.0,0.0,,0.015533782293435537,small_absolute_excursion
356,33821677,33821502,7,33821503,1.0,0.14285714285714285,-3007.320060706478,-2997.531476418513,-9.788584287965023,9.788584287965023,-9.788584287965023,0.015533782293435537,small_absolute_excursion
356,33821677,33821502,7,33821504,2.0,0.2857142857142857,-3007.320060706478,-3004.7561494071547,-2.563911299323536,2.563911299323536,7.224672988641487,0.015533782293435537,small_absolute_excursion
356,33821677,33821502,7,33821505,3.0,0.42857142857142855,-3006.9967106414783,-3011.9808223957957,4.984111754317382,4.984111754317382,7.548023053640918,0.015533782293435537,small_absolute_excursion
356,33821677,33821502,7,33821506,4.0,0.5714285714285714,-3006.8529995014783,-3019.205495384437,12.35249588295892,12.35249588295892,7.368384128641537,0.015533782293435537,small_absolute_excursion
356,33821677,33821502,7,33821507,5.0,0.7142857142857143,-3023.8662568963528,-3026.4301683730782,2.5639114767254796,2.5639114767254796,-9.78858440623344,0.015533782293435537,small_absolute_excursion
356,33821677,33821502,7,33821508,6.0,0.8571428571428571,-3023.8662568963528,-3033.6548413617197,9.788584465366966,9.788584465366966,7.224672988641487,0.015533782293435537,small_absolute_excursion
356,33821677,33821502,7,33821509,7.0,1.0,-3040.8795143503608,-3040.8795143503608,0.0,0.0,-9.788584465366966,0.015533782293435537,small_absolute_excursion
110,39655321,39654336,985,39654336,0.0,0.0,-3345.4523733775527,-3345.4523733775527,0.0,0.0,,0.010389185131323364,small_absolute_excursion
110,39655321,39654336,985,39654337,1.0,0.0010152284263959391,-3345.1290233125524,-3346.1173725579297,0.9883492453773215,0.9883492453773215,0.9883492453773215,0.010389185131323364,small_absolute_excursion
110,39655321,39654336,985,39654338,2.0,0.0020304568527918783,-3345.1287555416798,-3346.7823717383067,1.6536161966268992,1.6536161966268992,0.6652669512495777,0.010389185131323364,small_absolute_excursion
110,39655321,39654336,985,39654339,3.0,0.003045685279187817,-3344.8054054766794,-3347.4473709186836,2.6419654420042207,2.6419654420042207,0.9883492453773215,0.010389185131323364,small_absolute_excursion
110,39655321,39654336,985,39654340,4.0,0.0040609137055837565,-3344.6616943366794,-3348.11237009906,3.450675762380797,3.450675762380797,0.8087103203765764,0.010389185131323364,small_absolute_excursion
110,39655321,39654336,985,39654341,5.0,0.005076142131979695,-3361.834055254708,-3348.777369279437,-13.056685975270739,13.056685975270739,-16.507361737651536,0.010389185131323364,small_absolute_excursion
110,39655321,39654336,985,39654342,6.0,0.006091370558375634,-3361.834055254708,-3349.442368459814,-12.391686794893758,12.391686794893758,0.6649991803769808,0.010389185131323364,small_absolute_excursion
110,39655321,39654336,985,39654343,7.0,0.007106598984771574,-3361.510705189708,-3350.107367640191,-11.403337549516891,11.403337549516891,0.9883492453768667,0.010389185131323364,small_absolute_excursion
110,39655321,39654336,985,39654344,8.0,0.008121827411167513,-3361.506926080109,-3350.772366820568,-10.734559259541129,10.734559259541129,0.6687782899757622,0.010389185131323364,small_absolute_excursion
110,39655321,39654336,985,39654345,9.0,0.009137055837563452,-3361.1835760151093,-3351.437366000945,-9.746210014164262,9.746210014164262,0.9883492453768667,0.010389185131323364,small_absolute_excursion
110,39655321,39654336,985,39654346,10.0,0.01015228426395939,-3361.0398648751093,-3352.1023651813216,-8.937499693787686,8.937499693787686,0.8087103203765764,0.010389185131323364,small_absolute_excursion
110,39655321,39654336,985,39654347,11.0,0.01116751269035533,-3360.7165148101094,-3352.7673643616986,-7.949150448410819,7.949150448410819,0.9883492453768667,0.010389185131323364,small_absolute_excursion
110,39655321,39654336,985,39654349,13.0,0.013197969543147208,-3360.39313997314,-3354.0973627224525,-6.295777250687479,6.295777250687479,0.8266865988616701,0.010389185131323364,small_absolute_excursion
110,39655321,39654336,985,39654352,16.0,0.016243654822335026,-3359.820495073446,-3356.092360263583,-3.7281348098631497,3.7281348098631497,0.8558808136081097,0.010389185131323364,small_absolute_excursion
110,39655321,39654336,985,39654355,19.0,0.019289340101522844,-3359.155893209744,-3358.087357804714,-1.0685354050301612,1.0685354050301612,0.8865331349443295,0.010389185131323364,small_absolute_excursion
110,39655321,39654336,985,39654359,23.0,0.023350253807106598,-3358.1585378981435,-3360.7473545262214,2.5888166280778933,2.5888166280778933,0.9143380082770136,0.010389185131323364,small_absolute_excursion
110,39655321,39654336,985,39654364,28.0,0.028426395939086295,-3374.863699223183,-3364.072350428106,-10.791348795077283,10.791348795077283,-2.6760330846310354,0.010389185131323364,small_absolute_excursion
110,39655321,39654336,985,39654368,32.0,0.03248730964467005,-3391.505766690277,-3366.732347149614,-24.773419540663326,24.773419540663326,-3.4955176863965107,0.010389185131323364,small_absolute_excursion
110,39655321,39654336,985,39654371,35.0,0.03553299492385787,-3390.7153554202773,-3368.7273446907443,-21.988010729533016,21.988010729533016,0.9284696037101033,0.010389185131323364,small_absolute_excursion
110,39655321,39654336,985,39654378,42.0,0.04263959390862944,-3389.4532296347647,-3373.3823389533827,-16.070890681382025,16.070890681382025,0.8453028640215702,0.010389185131323364,small_absolute_excursion
110,39655321,39654336,985,39654387,51.0,0.05177664974619289,-3387.4858027565965,-3379.367331576775,-8.118471179821427,8.118471179821427,0.8836021668400664,0.010389185131323364,small_absolute_excursion
110,39655321,39654336,985,39654399,63.0,0.06395939086294417,-3402.435312818416,-3387.347321741298,-15.087991077118204,15.087991077118204,-0.5807933247747314,0.010389185131323364,small_absolute_excursion
110,39655321,39654336,985,39654400,64.0,0.0649746192893401,-3402.291601678416,-3388.012320921675,-14.279280756741173,14.279280756741173,0.8087103203770312,0.010389185131323364,small_absolute_excursion
110,39655321,39654336,985,39654412,76.0,0.07715736040609138,-3417.5282071214224,-3395.992311086198,-21.535896035224596,21.535896035224596,-0.6047179398736185,0.010389185131323364,small_absolute_excursion
110,39655321,39654336,985,39654429,93.0,0.09441624365482233,-3413.792985234381,-3407.297297152605,-6.495688081775825,6.495688081775825,0.8847181149087513,0.010389185131323364,small_absolute_excursion
110,39655321,39654336,985,39654449,113.0,0.11472081218274112,-3427.1235788607564,-3420.5972807601433,-6.526298100613076,6.526298100613076,-0.001530500941862556,0.010389185131323364,small_absolute_excursion
110,39655321,39654336,985,39654464,128.0,0.1299492385786802,-3459.237273781233,-3430.5722684657967,-28.665005315436247,28.665005315436247,-1.4759138143215447,0.010389185131323364,small_absolute_excursion
110,39655321,39654336,985,39654473,137.0,0.13908629441624365,-3492.324529547631,-3436.557261089189,-55.76726845844178,55.76726845844178,-3.011362571445059,0.010389185131323364,small_absolute_excursion
110,39655321,39654336,985,39654503,167.0,0.16954314720812183,-3556.3149299427823,-3456.507236500496,-99.80769344228611,99.80769344228611,-1.4680141661281445,0.010389185131323364,small_absolute_excursion
110,39655321,39654336,985,39654540,204.0,0.20710659898477157,-3566.189915848324,-3481.112206174442,-85.07770967388205,85.07770967388205,0.3981076694163258,0.010389185131323364,small_absolute_excursion
110,39655321,39654336,985,39654584,248.0,0.2517766497461929,-3574.7221160652243,-3510.3721701110258,-64.34994595419857,64.34994595419857,0.4710855390837155,0.010389185131323364,small_absolute_excursion
110,39655321,39654336,985,39654638,302.0,0.3065989847715736,-3598.4132536909124,-3546.2821258513786,-52.13112783953375,52.13112783953375,0.22627440953083014,0.010389185131323364,small_absolute_excursion
110,39655321,39654336,985,39654704,368.0,0.37360406091370557,-3602.435666020808,-3590.172071756255,-12.263594264553376,12.263594264553376,0.6040535390148541,0.010389185131323364,small_absolute_excursion
110,39655321,39654336,985,39654784,448.0,0.4548223350253807,-3656.043172332181,-3643.3720061864074,-12.67116614577344,12.67116614577344,-0.00509464851525081,0.010389185131323364,small_absolute_excursion
110,39655321,39654336,985,39654882,546.0,0.5543147208121827,-3688.23752834164,-3708.541925863344,20.30439752170423,20.30439752170423,0.33648534354569054,0.010389185131323364,small_absolute_excursion
110,39655321,39654336,985,39655000,664.0,0.6741116751269035,-3786.5695847709553,-3787.0118291478193,0.4422443768639823,0.4422443768639823,-0.1683233317359343,0.010389185131323364,small_absolute_excursion
110,39655321,39654336,985,39655145,809.0,0.8213197969543147,-3914.2179007284526,-3883.4367103024706,-30.781190425982004,30.781190425982004,-0.21533403312307578,0.010389185131323364,small_absolute_excursion
110,39655321,39654336,985,39655321,985.0,1.0,-4000.4765660488074,-4000.4765660488065,-9.094947017729282e-13,9.094947017729282e-13,0.17489312742034713,0.010389185131323364,small_absolute_excursion
36,39707851,39704004,3847,39704004,0.0,0.0,-3590.415609090645,-3590.415609090645,0.0,0.0,,0.011040709334800693,small_absolute_excursion
36,39707851,39704004,3847,39704005,1.0,0.0002599428125812321,-3590.092259025645,-3591.092549681856,1.0002906562108365,1.0002906562108365,1.0002906562108365,0.011040709334800693,small_absolute_excursion
