metric,rank,candidate_id,block_id,p_star,h,post_P0_flag,value,K_prime,spectral_bound_over_h,spectral_tightness,rayleigh_over_h,top_eigenvalue_over_h,top_eigenvector_alignment,effective_rank,event_count,sample_count
spectral_tightness,5,hexc_00006,7,30774449,104130,False,16077.367101819216,5.2493680971415095,84396.01795032225,16077.367101819216,2.950329231534745e-06,0.04743352612661228,0.0039400282926729605,2.7881261477872843,5986,41
spectral_tightness,6,hexc_00009,10,178298621,43765,False,9886.532005546826,3.625948703216957,35848.05790482545,9886.532005546826,4.543373039781753e-06,0.044918202970940874,0.004389654502931352,2.8112079476349567,2211,40
spectral_tightness,7,hexc_00023,24,180619079,61662,False,3395.683617838473,14.8875268699018,50553.33110225562,3395.683617838473,1.2944315269216204e-05,0.043954799303813866,0.012102391560622117,2.7914373117597413,3182,41
spectral_tightness,8,hexc_00008,9,12883477,11482,False,3150.135223931327,3.4598590865423064,10899.023978355784,3150.135223931327,1.9210479624522343e-05,0.06051560853382289,0.0015364630149832135,2.9467607046174784,672,39
spectral_tightness,9,hexc_00048,49,33902159,13400,False,2598.0932576280584,4.8687061662641105,12649.352663942938,2598.0932576280584,2.1421708405269826e-05,0.055655596174605845,0.008425003678300126,2.924010951756581,756,41
spectral_tightness,10,hexc_00024,25,109813367,23159,False,2407.5160346027374,8.632103006925288,20781.926401515135,2407.5160346027374,2.0778047940193146e-05,0.050023483583759375,0.015124042733245892,2.869265752395465,1212,41
spectral_tightness,11,hexc_00020,21,30847123,15789,False,2307.234632315036,6.281871907446504,14493.752420627487,2307.234632315036,2.3709390930342185e-05,0.05470312786558149,0.0052707345707387766,2.988620055555712,891,40
spectral_tightness,12,hexc_00104,105,604432601,22162,True,2195.321042341799,8.953720835599164,19656.29175764504,2195.321042341799,2.06217770804309e-05,0.045271421155151786,0.010896319816364998,2.8947390398506014,1062,41
spectral_tightness,13,hexc_00183,184,604356173,20686,True,1860.4289505779748,10.34327835039494,19242.934486961145,1860.4289505779748,2.5173556665508988e-05,0.04683361360952806,0.00017665237002760991,2.9511358509762413,1005,40
spectral_tightness,14,hexc_00061,62,113166227,11734,False,1588.1888696804992,6.659239168363888,10576.12952773595,1588.1888696804992,3.216669824117494e-05,0.05108679212100533,0.0036948170456929585,2.8215084023074852,602,40
spectral_tightness,15,hexc_00074,75,113195507,12848,False,774.1900784023444,15.294287511442286,11840.685647591501,774.1900784023444,6.586142262327108e-05,0.050989259944400185,0.016582974853866755,3.086895104005637,676,41
spectral_tightness,16,hexc_00127,128,187449539,9358,False,770.861123110828,11.353153142896916,8751.704382582742,770.861123110828,6.639280241488409e-05,0.05117963023601284,0.014097124042961992,2.9312975955566456,472,39
spectral_tightness,17,hexc_00053,54,7112297,2259,False,757.9967021634751,3.264895938981648,2474.7803546550117,757.9967021634751,9.644325243875657e-05,0.07310366729449701,0.012426431615506415,3.020851877360236,136,39
spectral_tightness,18,hexc_00296,297,604724143,5423,True,698.7251710948607,7.676155432851152,5363.523018169665,698.7251710948607,7.391554499757357e-05,0.051646651824999466,0.01085632928756394,3.0249854474651885,254,41
spectral_tightness,19,hexc_00078,79,109546081,10586,False,680.2631226360235,14.29696289203924,9725.696621149966,680.2631226360235,7.530717556786893e-05,0.051228694408697775,0.02438707434165212,2.9543041673454935,554,40
spectral_tightness,20,hexc_00090,91,179602723,7407,False,652.6821295987559,10.500128217395917,6853.246045989956,652.6821295987559,7.941841966392738e-05,0.05183498327561983,0.016324313632925778,3.0255357309523925,366,38
rayleigh_over_h,1,hexc_00059,60,3291137,8,False,0.07031251096785812,47.5033278218918,288.4117903765746,6.0714018070047855,0.07031251096785812,0.4268955061452976,0.289566221076704,1.6647922524211185,3,9
rayleigh_over_h,2,hexc_00032,33,1197697,4,False,0.06250000745748878,24.485463076576707,105.35544143348817,4.302775124325638,0.06250000745748878,0.2689234773582496,0.2897842057884488,1.3157894736842108,2,5
rayleigh_over_h,3,hexc_00231,232,7103387,4,False,0.06250000111545573,31.11053762086766,133.86166096274593,4.302775560939104,0.06250000111545573,0.2689234773582496,0.28978415722918033,1.3157894736842108,2,5
rayleigh_over_h,4,hexc_00185,186,22052431,4,False,0.06250000033522718,35.73898635214269,153.77683896843297,4.302775614653477,0.06250000033522718,0.2689234773582496,0.28978415125517626,1.3157894736842108,2,5
rayleigh_over_h,5,hexc_00123,124,30340987,4,False,0.06250000023913742,37.10051919515608,159.63520952932976,4.30277562126872,0.06250000023913742,0.2689234773582496,0.28978415051944234,1.3157894736842108,2,5
rayleigh_over_h,6,hexc_00297,298,30423359,4,False,0.06250000023845197,37.1122052310735,159.6854919215358,4.3027756213159085,0.06250000023845197,0.2689234773582496,0.28978415051419393,1.3157894736842108,2,5
rayleigh_over_h,7,hexc_00399,400,31019993,4,False,0.06250000023360201,37.19591809331658,160.04568959680532,4.3027756216498005,0.06250000023360201,0.2689234773582496,0.28978415047705924,1.3157894736842108,2,5
rayleigh_over_h,8,hexc_00254,255,33472553,4,False,0.06250000021553608,37.524779776886504,161.46070767843574,4.30277562289354,0.06250000021553608,0.2689234773582496,0.28978415033873306,1.3157894736842108,2,5
rayleigh_over_h,9,hexc_00360,361,33862799,4,False,0.06250000021290925,37.57501427082907,161.67685544119539,4.302775623074383,0.06250000021290925,0.2689234773582496,0.28978415031862004,1.3157894736842108,2,5
rayleigh_over_h,10,hexc_00341,342,40864051,4,False,0.06250000017453945,38.394020568119075,165.2008558737388,4.302775625715928,0.06250000017453945,0.2689234773582496,0.2897841500248326,1.3157894736842108,2,5
rayleigh_over_h,11,hexc_00428,429,108831299,4,False,0.06250000006206692,42.805805829086985,184.18377829197414,4.302775633459033,0.06250000006206692,0.2689234773582496,0.2897841491636602,1.3157894736842108,2,5
rayleigh_over_h,12,hexc_00619,620,109709357,4,False,0.0625000000615436,42.84298005706769,184.3437306558657,4.302775633495061,0.0625000000615436,0.2689234773582496,0.28978414915965317,1.3157894736842108,2,5
rayleigh_over_h,13,hexc_00459,460,178299217,4,False,0.06250000003690037,45.12012021068158,194.1417538994372,4.302775635191609,0.06250000003690037,0.2689234773582496,0.28978414897096666,1.3157894736842108,2,5
