block_id,p_star,y,h,t,offset,D_t,line_t,diff,abs_diff,Q_delayed_proxy
7,30774449,30670319,104130,30670329,10.0,-3670.232006454494,-3680.0996142548092,9.867607800315454,9.867607800315454,0.8566302999431755
7,30774449,30670319,104130,30670333,14.0,-3669.441594294477,-3683.242482100513,13.800887806035917,13.800887806035917,0.8566302999431755
7,30774449,30670319,104130,30670335,16.0,-3669.1176943728456,-3684.813916023365,15.69622165051942,15.69622165051942,0.8566302999431755
7,30774449,30670319,104130,30670339,20.0,-3668.3242054103766,-3687.9567838690687,19.632578458692024,19.632578458692024,0.8566302999431755
7,30774449,30670319,104130,30670346,27.0,-3666.855159305695,-3693.45680259905,26.60164329335521,26.60164329335521,0.8566302999431755
7,30774449,30670319,104130,30670351,32.0,-3682.9802048859183,-3697.38538740618,14.40518252026186,14.40518252026186,0.8566302999431755
7,30774449,30670319,104130,30670357,38.0,-3681.645168204498,-3702.099689174736,20.45452097023781,20.45452097023781,0.8566302999431755
7,30774449,30670319,104130,30670372,53.0,-3696.065844186043,-3713.885443596125,17.81959941008199,17.81959941008199,0.8566302999431755
7,30774449,30670319,104130,30670383,64.0,-3693.6650726601647,-3722.52833017181,28.863257511645315,28.863257511645315,0.8566302999431755
7,30774449,30670319,104130,30670392,73.0,-3691.83452119433,-3729.5997828246436,37.76526163031349,37.76526163031349,0.8566302999431755
7,30774449,30670319,104130,30670421,102.0,-3702.9346887787888,-3752.385574705996,49.45088592720731,49.45088592720731,0.8566302999431755
7,30774449,30670319,104130,30670447,128.0,-3732.088364683796,-3772.8142157030707,40.725851019274614,40.725851019274614,0.8566302999431755
7,30774449,30670319,104130,30670460,141.0,-3729.708704394842,-3783.028536201608,53.31983180676616,53.31983180676616,0.8566302999431755
7,30774449,30670319,104130,30670516,197.0,-3735.344710274385,-3827.028686041461,91.68397576707594,91.68397576707594,0.8566302999431755
7,30774449,30670319,104130,30670593,274.0,-3822.936655946471,-3887.5288920712583,64.59223612478718,64.59223612478718,0.8566302999431755
7,30774449,30670319,104130,30670700,381.0,-3835.65642711331,-3971.6006069438345,135.94417983052426,135.94417983052426,0.8566302999431755
7,30774449,30670319,104130,30670848,529.0,-3925.7907068401114,-4087.886717234874,162.09601039476274,162.09601039476274,0.8566302999431755
7,30774449,30670319,104130,30671056,737.0,-4175.997309530404,-4251.31584521147,75.31853568106635,75.31853568106635,0.8566302999431755
7,30774449,30670319,104130,30671344,1025.0,-4392.847416074994,-4477.602330102142,84.75491402714852,84.75491402714852,0.8566302999431755
7,30774449,30670319,104130,30671744,1425.0,-4724.439169668034,-4791.88911467252,67.44994500448593,67.44994500448593,0.8566302999431755
7,30774449,30670319,104130,30672302,1983.0,-5161.461586282605,-5230.319179148197,68.85759286559187,68.85759286559187,0.8566302999431755
7,30774449,30670319,104130,30673077,2758.0,-5726.18758286195,-5839.249824253303,113.06224139135247,113.06224139135247,0.8566302999431755
7,30774449,30670319,104130,30674156,3837.0,-6556.255886732458,-6687.038425631897,130.7825388994388,130.7825388994388,0.8566302999431755
7,30774449,30670319,104130,30675657,5338.0,-7868.451723782286,-7866.3995847322385,-2.052139050047117,2.052139050047117,0.8566302999431755
7,30774449,30670319,104130,30677744,7425.0,-9301.685986457562,-9506.190883228184,204.5048967706225,204.5048967706225,0.8566302999431755
7,30774449,30670319,104130,30680648,10329.0,-11601.46418937827,-11787.912939209124,186.44874983085356,186.44874983085356,0.8566302999431755
7,30774449,30670319,104130,30684688,14369.0,-14598.850366077,-14962.209463369938,363.3590972929378,363.3590972929378,0.8566302999431755
7,30774449,30670319,104130,30690307,19988.0,-19237.17600089163,-19377.153069622316,139.97706873068455,139.97706873068455,0.8566302999431755
7,30774449,30670319,104130,30698125,27806.0,-25337.955412604144,-25519.888274050347,181.93286144620288,181.93286144620288,0.8566302999431755
7,30774449,30670319,104130,30709000,38681.0,-33827.64118141314,-34064.560229557486,236.91904814434383,236.91904814434383,0.8566302999431755
7,30774449,30670319,104130,30724128,53809.0,-45909.75008764484,-45950.886422009164,41.136334364324284,41.136334364324284,0.8566302999431755
7,30774449,30670319,104130,30745173,74854.0,-62811.20625782838,-62486.29987521815,-324.9063826102283,324.9063826102283,0.8566302999431755
7,30774449,30670319,104130,30774449,104130.0,-85488.94963792409,-85488.94963792409,0.0,0.0,0.8566302999431755
21,30847123,30831334,15789,30831334,0.0,-3291.774805658332,-3291.774805658332,0.0,0.0,0.3304370159663173
21,30847123,30831334,15789,30831335,1.0,-3291.451455593332,-3292.542549503331,1.0910939099990173,1.0910939099990173,0.3304370159663173
21,30847123,30831334,15789,30831336,2.0,-3291.244511551732,-3293.31029334833,2.065781796598003,2.065781796598003,0.3304370159663173
21,30847123,30831334,15789,30831337,3.0,-3308.1652036525043,-3294.0780371933292,-14.087166459175023,14.087166459175023,0.3304370159663173
21,30847123,30831334,15789,30831338,4.0,-3308.1652036525043,-3294.8457810383284,-13.319422614175892,13.319422614175892,0.3304370159663173
21,30847123,30831334,15789,30831339,5.0,-3307.8418535875044,-3295.6135248833275,-12.228328704176874,12.228328704176874,0.3304370159663173
21,30847123,30831334,15789,30831341,7.0,-3307.3747923825044,-3297.1490125733258,-10.225779809178675,10.225779809178675,0.3304370159663173
21,30847123,30831334,15789,30831342,8.0,-3307.3747912559597,-3297.916756418325,-9.458034837634841,9.458034837634841,0.3304370159663173
21,30847123,30831334,15789,30831343,9.0,-3307.051441190959,-3298.684500263324,-8.366940927634914,8.366940927634914,0.3304370159663173
21,30847123,30831334,15789,30831344,10.0,-3307.0514314022794,-3299.452244108323,-7.59918729395622,7.59918729395622,0.3304370159663173
21,30847123,30831334,15789,30831346,12.0,-3306.5843701972794,-3300.9877317983214,-5.596638398958021,5.596638398958021,0.3304370159663173
21,30847123,30831334,15789,30831350,16.0,-3340.425755112384,-3304.058707178318,-36.36704793406625,36.36704793406625,0.3304370159663173
21,30847123,30831334,15789,30831355,21.0,-3339.20641008269,-3307.8974264033136,-31.308983679376524,31.308983679376524,0.3304370159663173
21,30847123,30831334,15789,30831362,28.0,-3337.8123346487964,-3313.271633318308,-24.540701330488446,24.540701330488446,0.3304370159663173
21,30847123,30831334,15789,30831366,32.0,-3336.8149793371963,-3316.3426086983045,-20.47237063889179,20.47237063889179,0.3304370159663173
21,30847123,30831334,15789,30831370,36.0,-3335.9189843725026,-3319.413584078301,-16.505400294201536,16.505400294201536,0.3304370159663173
21,30847123,30831334,15789,30831382,48.0,-3350.9290788577937,-3328.6265102182906,-22.30256863950308,22.30256863950308,0.3304370159663173
21,30847123,30831334,15789,30831397,63.0,-3347.5904853256307,-3340.1426678932776,-7.447817432353077,7.447817432353077,0.3304370159663173
21,30847123,30831334,15789,30831398,64.0,-3347.586706216033,-3340.9104117382767,-6.676294477756073,6.676294477756073,0.3304370159663173
21,30847123,30831334,15789,30831417,83.0,-3378.096242057264,-3355.4975447932607,-22.598697264003476,22.598697264003476,0.3304370159663173
21,30847123,30831334,15789,30831443,109.0,-3407.2646525230607,-3375.458884763238,-31.80576775982263,31.80576775982263,0.3304370159663173
21,30847123,30831334,15789,30831462,128.0,-3420.604033388067,-3390.0460178182216,-30.558015569845338,30.558015569845338,0.3304370159663173
21,30847123,30831334,15789,30831478,144.0,-3417.342013486543,-3402.329919338208,-15.012094148334654,15.012094148334654,0.3304370159663173
21,30847123,30831334,15789,30831524,190.0,-3442.4168088773254,-3437.646136208168,-4.770672669157193,4.770672669157193,0.3304370159663173
21,30847123,30831334,15789,30831585,251.0,-3464.238987120231,-3484.478510753116,20.239523632885266,20.239523632885266,0.3304370159663173
21,30847123,30831334,15789,30831664,330.0,-3534.410925973088,-3545.130274508048,10.719348534959863,10.719348534959863,0.3304370159663173
21,30847123,30831334,15789,30831769,435.0,-3564.49931828349,-3625.7433782329576,61.244059949467555,61.244059949467555,0.3304370159663173
21,30847123,30831334,15789,30831908,574.0,-3725.606497299201,-3732.4597726878383,6.853275388637485,6.853275388637485,0.3304370159663173
21,30847123,30831334,15789,30832091,757.0,-3825.7425985879167,-3872.9568963226807,47.21429773476393,47.21429773476393,0.3304370159663173
21,30847123,30831334,15789,30832331,997.0,-4035.160451139104,-4057.215419122474,22.054967983369806,22.054967983369806,0.3304370159663173
21,30847123,30831334,15789,30832649,1315.0,-4245.863001050612,-4301.357961832201,55.494960781588816,55.494960781588816,0.3304370159663173
